comp_name,comp_type,model,min_size,max_size,current_size,therm_cns,water_tes,gas_grid,chp_s,e_grid,tp_val_therm,e_cns,hw_cns,tp_val_hw,e_boi,e_meter,bat,pv
therm_cns,HeatConsumptionFluid,HeatCNS,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_tes,HomoStorage,TES_homo_40,0,20000,0,0,0,0,0,0,,0,0,,0,0,0,0
gas_grid,GasGrid,GAS1,0,1000,0,0,0,0,,0,0,0,0,0,0,0,0,0
chp_s,CHPFluidSmall,CHPFluidSmall,2,50,0,0,,0,0,,0,0,0,0,0,,0,0
e_grid,ElectricityGrid,GRD1,0,100,0,0,0,0,0,0,0,,0,0,,0,,0
tp_val_therm,ThreePortValve,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
e_cns,ElectricalConsumption,CNS1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hw_cns,HotWaterConsumptionFluid,HWCNS,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tp_val_hw,ThreePortValve,,,,,0,0,0,0,0,0,0,0,0,,0,0,0
e_boi,ThroughHeaterElec,BOI3,0,100,0,0,0,0,0,0,0,0,,0,0,0,0,0
e_meter,ElectricityMeter,EM,0,100,0,0,0,0,0,0,0,,0,0,,0,,0
bat,Battery,BAT_district,0,100,0,0,0,0,0,,0,,0,0,,0,0,0
pv,PV,PV_district,0,50,0,0,0,0,0,,0,0,0,0,0,,0,0
